tornado
	2015-04-21 00:23:41@RabbitholeGirl @mdkayak yep... Like wizard of oz tornado.
	2015-04-21 00:23:39@ivan_sams123  egk lah. Kau ga liat hujan pas hari sabtu itu? Uda mcem tornado kurasa.
	2015-04-21 00:23:39RT @catchingtardiss: This tornado warning is apparently a v serious thing and I'm just shaking so bad
	2015-04-21 00:23:38RT @Kingceaa: tornado on the way. destroy the school please
	2015-04-21 00:23:37I'm next to Mayor @EricPapenfuse we are updating each other on Tornado Warning. We'll be on top of this. @abc27News http://t.co/KSJuSqw6Zm
	2015-04-21 00:23:36Omfg this tornado warning siren is scary af #stopppppppppp
	2015-04-21 00:23:35#XodaEnVivo el tornado en life is strange era la cagadera en el estomago de la gente en el coctel XD 30
	2015-04-21 00:23:34@anna_enck Hey Anna. There is now a tornado warning, so be safe. Tell Abby I said be safe. Have a great twisted night. Lol.
	2015-04-21 00:23:32RT @drowsy_mosquito: Smooth as a tornado
	2015-04-21 00:23:32Tornado Watch in Effect for Most of Maryland | Columbia, MD Patch http://t.co/yohOs7QeK3
	2015-04-21 00:23:22trying to keep my brother calm during this tornado is the hardest
	2015-04-21 00:23:21#XodaEnVivo el tornado en life is strange era la cagadera en el estomago de la gente en el coctel XD 27
	2015-04-21 00:23:21RT @5QuadBOT: Tornado watch. :( http://t.co/0E307P0idi
	2015-04-21 00:23:20RT @NWStornado: Tornado Warning including Harrisburg PA, Colonial Park PA, Hershey PA until 8:45 PM EDT http://t.co/oxg6UKPEcG
	2015-04-21 00:23:20RT @5QuadBOT: Tornado watch. :( http://t.co/0E307P0idi
	2015-04-21 00:23:20Tornado Warning for Cumberland and Dauphin County in PA until 8:45pm EDT. #pawx
	2015-04-21 00:23:19RT @ajc: Storms moving out. Tornado watch over. http://t.co/XF9Lavsdr8 #ATLweather
	2015-04-21 00:23:18rdy for the tornado http://t.co/EGoSUHDbQB
	2015-04-21 00:23:18#XodaEnVivo el tornado en life is strange era la cagadera en el estomago de la gente en el coctel XD 26
	2015-04-21 00:23:16@SquareSails Yeesh! I don't miss tornado warnings from growing up in Ohio. Stay safe! At least you still have Internet...for now.
	2015-04-21 00:23:16@MiaMurray_21 to fight the tornado?
	2015-04-21 00:23:06What happened to that tornado and rain it never came
	2015-04-21 00:23:05RT @AbigailMadge: on the bright side if there is a tornado we probably won't have to take the bio test tomorrow
	2015-04-21 00:23:04first thing i made sure to do when i heard the tornado warning was to cook my pasta before my power went out
	2015-04-21 00:23:03RT @dillonthooo: Tornado warning because god is upset at all you dirty smoking sinners
	2015-04-21 00:23:01where's the tornado
	2015-04-21 00:23:01RT @todaysthedayHBG: Emergency broadcast--Tornado warning for City of Harrisburg until 8:55pm. #caution http://t.co/duiue3nBoz
	2015-04-21 00:23:00everyone please shut up about the tornado warning. please &amp; thank you.
	2015-04-21 00:22:58Yoru #Sleep, #minipinscher, #mihijo https://t.co/2xfoNUc7jl
	2015-04-21 00:22:56RT @chrisnallan: #TORNADO Warning for the Harrisburg Metro until 8:45 PM. Take shelter immediately!
	2015-04-21 00:22:53RT @InsideHershey: The NWS has issued a tornado warning for Dauphin County, including Hershey, until 8:45 p.m.
	2015-04-21 00:22:42RT @5QuadBOT: Tornado watch. :( http://t.co/0E307P0idi
	2015-04-21 00:22:41#XodaEnVivo el tornado en life is strange era la cagadera en el estomago de la gente en el coctel XD 22
	2015-04-21 00:22:40"what if our car gets sucked up in the tornado"
- that's ok, it'll be a fun ride
	2015-04-21 00:22:39#XodaEnVivo el tornado en life is strange era la cagadera en el estomago de la gente en el coctel XD 21
	2015-04-21 00:22:39Tornado or no tornado? I can't handle the stress.
	2015-04-21 00:22:37RT @raywrightstone: holy shit the tornado sirens are going off and the sky looks like the portal to hell is open
earthquake
	2015-04-21 00:23:24Animations for Earthquake Terms and Concepts http://t.co/rc0aJJPuZd
	2015-04-21 00:22:54"It was an earthquake - it was an avalanche of change"
	2015-04-21 00:22:39USGS reports a M1.7 #earthquake 9km S of Talkeetna, Alaska on 4/20/15 @ 23:59:38 UTC http://t.co/dNmRM8XYbi #quake
	2015-04-21 00:21:32@DiegoMuG es bacan valdivia. Yo tomo en un local q se llama 8,8 grados o epicentro o algo earthquake related. Muy barato y rico
	2015-04-21 00:21:30@HondaMX15 milk drink and earthquake, it is a pretty underrated pokemkn
	2015-04-21 00:20:29Light earthquake: M4.4 quake strikes near Isangel in Vanuatu - http://t.co/X62CCLYyhF #earthquake #quake
	2015-04-21 00:20:18you are every dry cough on a wet day, every earthquake that splits the sutures of my skull, my blood boils every time I hear your name
	2015-04-21 00:20:14RT @Gol_Gotha: 6.8 quake off Taiwan coast prompts tsunami alert in southwestern Japan  http://t.co/7yL8EdDp1N via #hng #earthchanges
	2015-04-21 00:20:11RT @Alyssa_Milano: Earthquake fault heightens California tsunami threat, experts say http://t.co/UUR4pdB4sS /via @cubfancurt
	2015-04-21 00:20:02@Alyssa_Milano @cubfancurt I never really felt an earthquake.. but I do know tornados
	2015-04-21 00:19:54[ Sismos USGS ] M 0.8 - 54km ENE of Beatty, Nevada: Time2015-04-20 23:54:38 UTC2015-04-20 16:54:38 -07:00 at e... http://t.co/zRkpEZRCve
	2015-04-21 00:19:53[USGS] M 0.8 - 54km ENE of Beatty, Nevada: Time2015-04-20 23:54:38 UTC2015-04-20 16:54:38 -07:00 at epicenterL... http://t.co/HUN9oB36lu
	2015-04-21 00:19:49#USGS M 0.6 - 34km N of Amboy, Washington: Time2015-04-20 23:22:15 UTC2015-04-20 16:22:15 -07:00 at epicen... http://t.co/vnin563JaB #SM
	2015-04-21 00:19:49#USGS M 1.1 - 3km NNW of The Geysers, California: Time2015-04-20 23:43:30 UTC2015-04-20 16:43:30 -07:00 at... http://t.co/L321JmZu0D #SM
	2015-04-21 00:19:49#USGS M 0.9 - 2km WNW of The Geysers, California: Time2015-04-20 23:43:09 UTC2015-04-20 16:43:09 -07:00 at... http://t.co/DxasFFb5s7 #SM
	2015-04-21 00:19:48#USGS M 1.1 - 1km WNW of El Centro, California: Time2015-04-20 23:39:00 UTC2015-04-20 16:39:00 -07:00 at e... http://t.co/QP1gbZ6FId #SM
	2015-04-21 00:19:47#USGS M 0.8 - 54km ENE of Beatty, Nevada: Time2015-04-20 23:54:38 UTC2015-04-20 16:54:38 -07:00 at epicent... http://t.co/w5zXzMKgM0 #SM
