tornado
	2015-04-21 00:04:17I am the Tornado Man
	2015-04-21 00:04:16Be back in a bit tornado warning coming this way.
	2015-04-21 00:04:16The Tornado Watch has expired for the Carolinas and Northeast Georgia at this time. Conditions are expected to... http://t.co/anDpUMrIXz
	2015-04-21 00:04:16RT @crabbyemily: Fav for fire rt for tornado #HookEm http://t.co/IzbtbWVyvH
	2015-04-21 00:04:16RT @KnightCBS21: RT @KMazurNews: Stream our tornado warning coverage LIVE at http://t.co/S5Y6k7fIgg or on our mobile news app #CBS21WX
	2015-04-21 00:04:15#tornado occupied Palestinian territory: UNSCO Socio-Economic Report: Overview of the Palest... http://t.co/Ax4pOBS0sz #crisismanagement
	2015-04-21 00:04:15Tornado Watch issued April 20 at 7:56PM EDT until April 20 at 10:00PM EDT by NWS http://t.co/56zMGJV6dl #WxPA
	2015-04-21 00:04:14The Tornado Watch for Laurens County has expired. All watches and warnings for Laurens County have expired.
	2015-04-21 00:04:14The Tornado Watch for Laurens County has expired. All watches and warnings for Laurens County have expired.
	2015-04-21 00:04:14The Tornado Watch for Laurens County has expired. All watches and warnings for Laurens County have expired.
	2015-04-21 00:04:14RT @HumanityRoad: MT @NWSNorman Reminder - tornado safety guidelines. #okwx http://t.co/huS5HXIYIS #hmrd via ^ac
	2015-04-21 00:04:14Bomb seemed to do nothing to tornado. Ben wants to double up
	2015-04-21 00:04:14RT @cbsbaltimore: Much of Md. under Tornado Watch until 10 p.m. Latest here: http://t.co/Yj4tbIg7cF #FIRSTWARNINGWX
	2015-04-21 00:04:13Tornado Watch issued April 20 at 7:56PM EDT until April 20 at 10:00PM EDT by NWS http://t.co/s9QQ0xQ7GV #WxNJ
	2015-04-21 00:04:02i just realized the tornado warning MIGHT BE HERE TOO
	2015-04-21 00:04:01RT @11mikelevy: I hope theres a tornado that destroyes my school
	2015-04-21 00:04:01Got back from fishing to hear there is a tornado warning. Never know what potter county might throw at ya
	2015-04-21 00:03:59Just waiting for this tornado...
	2015-04-21 00:03:57Tornado is coming
	2015-04-21 00:03:56THERE IS A FUCKING TORNADO WARCH IN MY CPUNTY THIS IS THE DAY I DIE
	2015-04-21 00:03:56Bring this tornado man. I'm hype
	2015-04-21 00:03:55Apparently there is a thunderous downpour a couple of miles away. Tornado warning. We're sheltering in place. Cats in bathroom, v. annoyed.
	2015-04-21 00:03:52There's a tornado warning so they're showing the news instead of the voice :(
	2015-04-21 00:03:51@NWSILN wowwww thank god it was onlyy a F0 cause I was playin UMGs and GBs i kept tellinn my team members tho I was hearin tornado sirens
	2015-04-21 00:03:49The amount of people who are willing to get frozen yogurt in a tornado just astounds me
	2015-04-21 00:03:49Great..now there's a tornado warning. It looks so scary outside!!
	2015-04-21 00:03:36RT @ChiefKeith: @NWSLittleRock confirms an EF-1 tornado touched down at Overcup, AR Sunday evening. #arwx
	2015-04-21 00:03:35RT @WNEPWeather: A Tornado Watch has been issued for these counties. Visit http://t.co/BcIoTqW9mR for the latest. http://t.co/mKY5YGC9Kc
	2015-04-21 00:03:34need the crew now. pinned down in the tornado @MMIITTCCHHELLLL @Derian_Boyd71 @cochran_ronnie http://t.co/IYI5uj06lW
	2015-04-21 00:03:34RT @NWStornado: Tornado Warning including Mechanicsburg PA, Camp Hill PA, New Cumberland PA until 8:15 PM EDT http://t.co/bRDfjHSkFy
	2015-04-21 00:03:33RT @NWStornado: Tornado Warning including Mechanicsburg PA, Camp Hill PA, New Cumberland PA until 8:15 PM EDT http://t.co/bRDfjHSkFy
	2015-04-21 00:03:32RT @NBCPhiladelphia: FIRST ALERT: Tornado Watch remains in effect for area, TIMELINE of storms HERE: http://t.co/dMEL5JlZ66
	2015-04-21 00:03:32If we could just have a thunderstorm and not a tornado that'd be great
	2015-04-21 00:03:31Looks like a tornado. #random https://t.co/T2tE68VyYc
	2015-04-21 00:03:31Tornado Watch 90 is in effect until 10:00  EST for DC region #tornado #Weather
	2015-04-21 00:03:28Thank goodness no one was hurt in the EF1 tornado in overcup area #beon11
	2015-04-21 00:03:25@WRAL possible funnel cloud in Apex, NC. Picture incoming. It was a line looking cloud heading low to the ground. #Tornado
	2015-04-21 00:03:24It was a tough day for the osprey in this area.  A bad storm rolled through, bringing a tornado th... http://t.co/TGXLDTxvCy
	2015-04-21 00:03:14Mr. Tornado plz hit the school
	2015-04-21 00:03:09RT @sarah_brock22: too many people blazed on 420 this tornado is God warning us
	2015-04-21 00:03:09Tornado weather. http://t.co/Iuac5vKnCr
	2015-04-21 00:03:08Tornado warning and watches central PA.  No #DWTS for me right now.
	2015-04-21 00:03:08If DC really does get a tornado tonight will I have to go to work tomorrow?
	2015-04-21 00:03:08lol okay Georgetown casual tornado warning
	2015-04-21 00:03:07I'm not always one to say let's cancel class but listening to the thunder and reading tornado warnings for fairfax... Let's cancel class...
	2015-04-21 00:03:06RT @NbergWX: Closely watching rotation in this storm exiting State College. No Tornado Warning as of yet though.. http://t.co/dX6lQpHWGX
	2015-04-21 00:03:05RT @MissJei38: Wheres the Tornado? -___- @ Miami Beach, Florida https://t.co/zcJOcZKwTs
	2015-04-21 00:03:03cause I always think that a tornado is gonna come after it
	2015-04-21 00:02:50Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado: David ShalomVentos em grande velocid... http://t.co/cLk3V0d5qr
	2015-04-21 00:02:50when u can't watch dwts bc there's a tornado warning in your area!!!!
	2015-04-21 00:02:50Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado: David ShalomVentos em grande velocid... http://t.co/MvSxH2z9CM
	2015-04-21 00:02:50tornado bout to fuck the money up.
