	2015-04-21 00:39:110There is a fucking tornado watch here great just great http://t.co/24rX7Tlkg8
	2015-04-21 00:39:101I liked a @YouTube video from @team0epiphany http://t.co/jwfjCURXEV GTA 5 - TORNADO RACE (GTA V PC Gameplay) 1080P 60FPS
	2015-04-21 00:39:090a tornado watch? this is three much.
	2015-04-21 00:39:081RT @KSLA: Tornado shelter sales increasing with severe weather: 
http://t.co/lWFrrG3Sds http://t.co/tjH0ZauyRo
	2015-04-21 00:39:081RT @dxddyrose: @kxnra tornado warning supposedly .., idk lol
	2015-04-21 00:39:070Wouldn't it be great if a tornado hit the school? Yeah I think it would be
	2015-04-21 00:39:060If tornadoes sound like freight trains, how do I know the difference between a train going by &amp; a tornado rolling through? #livesbyarailroad
	2015-04-21 00:39:0521RT @lybr3: Sooo, a tornado might hit DC. I guess mother nature decided it's time to take out the trash.
	2015-04-21 00:39:030oh look there's a tornado watch #closeAPS http://t.co/TdTGhTBBxa
	2015-04-21 00:39:020Due to tornado alert, HSD School Board of Directors move to safety in basement at Lincoln to conduct board meeting. http://t.co/8hblzDWntC
	2015-04-21 00:38:520But I've been walking all round the house singing "a tornado flew around my room"
	2015-04-21 00:38:501RT @Emily_Hennigan: BELLA TOLD ME THERE WAS A TORNADO AND I STARTED CRYING I HATE MY LIFE
	2015-04-21 00:38:4958RT @JedidiahMartin: it's not a tornado, it's just God doing some sick smoke tricks. #420
	2015-04-21 00:38:480It's A Tornado Watch Back At Home Thank God I'm In DC I'd Be Laid Out Somewhere From Worry
	2015-04-21 00:38:480Tornado warning. Casual.
	2015-04-21 00:38:480Tornado Warning in Dauphin County.@abc27Weather team on live. Storm heading toward Manada Area. http://t.co/ruRZ3kXZD8
	2015-04-21 00:38:467RT @CBS21NEWS: Tornado warning has been canceled for Cumberland Co. Warning remains for Dauphin Co. until 8:45 p.m. http://t.co/wPp09yJh2Y
	2015-04-21 00:38:450my eng teacher's korean wife thought tornado sirens were public safety drills like SK has for north korea lol
	2015-04-21 00:38:440Tornado Warning issued April 20 at 8:27PM EDT until April 20 at 8:45PM EDT by NWS http://t.co/p9wfbztKGu #WxPA
